symbol,delisted_date,available_since,last_price,data_from_month,trading_days
srmusdt,2022-11-16,2020-09-05,0.7684,2022-10,0.0
fttusdt,2022-11-15,2022-04-15,26.073,2022-10,0.0
fttbusd,2022-11-15,2021-09-08,26.062,2022-10,0.0
btcusdt_220930,2022-10-01,2022-06-20,19514.0,2022-09,0.0
ethusdt_220930,2022-10-01,2022-06-20,1340.33,2022-09,0.0
btsusdt,2022-08-19,2021-02-01,0.01228,2022-07,0.0
btcusdt_220624,2022-06-25,2022-03-22,31877.3,2022-05,0.0
ethusdt_220624,2022-06-25,2022-03-22,1944.75,2022-05,0.0
scusdt,2022-06-18,2021-04-12,0.005652,2022-05,0.0
dodousdt,2022-05-28,2021-02-19,0.282,2022-04,0.0
akrousdt,2022-05-28,2021-01-19,0.00797,2022-04,0.0
ancusdt,2022-05-14,2022-03-08,1.592,2022-04,0.0
lunabusd,2022-05-14,2022-05-12,,NOT_FOUND,
lunausdt,2022-05-13,2021-01-28,78.024,2022-04,0.0
yfiiusdt,2022-04-13,2020-09-03,2243.9,2022-03,0.0
1000bttcusdt,2022-04-12,2022-01-26,0.002144,2022-03,0.0
btcusdt_220325,2022-03-26,2021-12-24,43241.1,2022-02,0.0
ethusdt_220325,2022-03-26,2021-12-24,2925.6,2022-02,0.0
keepusdt,2022-02-16,2021-06-22,0.4461,2022-01,0.0
nuusdt,2022-02-16,2021-10-21,0.4953,2022-01,0.0
bttusdt,2022-01-15,2021-04-06,0.002722,2021-12,0.0
ethusdt_211231,2022-01-01,2021-09-22,3695.0,2021-12,0.0
btcusdt_211231,2022-01-01,2021-09-22,47020.0,2021-12,0.0
bzrxusdt,2021-12-20,2020-09-05,0.2874,2021-11,0.0
btcusdt_210924,2021-09-25,2021-06-18,47416.7,2021-08,0.0
ethusdt_210924,2021-09-25,2021-06-21,3462.62,2021-08,0.0
ethusdt_210625,2021-06-26,2021-03-16,2722.66,2021-05,0.0
btcusdt_210625,2021-06-26,2021-03-16,37468.9,2021-05,0.0
ethusdt_210326,2021-03-27,2021-02-04,,NOT_FOUND,
btcusdt_210326,2021-03-27,2021-02-03,,NOT_FOUND,
btcstusdt,2021-03-13,2021-03-04,,NOT_FOUND,
dotecousdt,2021-02-20,2021-01-20,,NOT_FOUND,
btcbusd_210226,2021-01-12,2021-01-05,,NOT_FOUND,
btcbusd_210129,2021-01-12,2021-01-05,,NOT_FOUND,
lendusdt,2020-10-10,2020-07-23,0.5344,2020-09,0.0
